Timestamp                	Data           	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
2018-05-13 21:45:34:172	Number with Flush: 0. 	
